Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2024T3;21.823
Ambos sexos;Total Nacional;Total;2024T2;21.684,7
Ambos sexos;Total Nacional;Total;2024T1;21.250
Ambos sexos;Total Nacional;Total;2023T4;21.389,7
Ambos sexos;Total Nacional;Total;2023T3;21.446,5
Ambos sexos;Total Nacional;Total;2023T2;21.258,4
Ambos sexos;Total Nacional;Total;2023T1;20.634,2
Ambos sexos;Total Nacional;Total;2022T4;20.640,7
Ambos sexos;Total Nacional;Total;2022T3;20.745,4
Ambos sexos;Total Nacional;Total;2022T2;20.607,2
Ambos sexos;Total Nacional;Total;2022T1;20.196,7
Ambos sexos;Total Nacional;Total;2021T4;20.274,8
Ambos sexos;Total Nacional;Total;2021T3;20.103,3
Ambos sexos;Total Nacional;Total;2021T2;19.716,1
Ambos sexos;Total Nacional;Total;2021T1;19.239,6
Ambos sexos;Total Nacional;Total;2020T4;19.344,3
Ambos sexos;Total Nacional;Total;2020T3;19.176,9
Ambos sexos;Total Nacional;Total;2020T2;18.607,2
Ambos sexos;Total Nacional;Total;2020T1;19.681,3
Ambos sexos;Total Nacional;Total;2019T4;19.966,9
Ambos sexos;Total Nacional;Total;2019T3;19.874,3
Ambos sexos;Total Nacional;Total;2019T2;19.804,9
Ambos sexos;Total Nacional;Total;2019T1;19.471,1
Ambos sexos;Total Nacional;Total;2018T4;19.564,6
Ambos sexos;Total Nacional;Total;2018T3;19.528
Ambos sexos;Total Nacional;Total;2018T2;19.344,1
Ambos sexos;Total Nacional;Total;2018T1;18.874,2
Ambos sexos;Total Nacional;Total;2017T4;18.998,4
Ambos sexos;Total Nacional;Total;2017T3;19.049,2
Ambos sexos;Total Nacional;Total;2017T2;18.813,3
Ambos sexos;Total Nacional;Total;2017T1;18.438,3
Ambos sexos;Total Nacional;Total;2016T4;18.508,1
Ambos sexos;Total Nacional;Total;2016T3;18.527,5
Ambos sexos;Total Nacional;Total;2016T2;18.301
Ambos sexos;Total Nacional;Total;2016T1;18.029,6
Ambos sexos;Total Nacional;Total;2015T4;18.094,2
Ambos sexos;Total Nacional;Total;2015T3;18.048,7
Ambos sexos;Total Nacional;Total;2015T2;17.866,5
Ambos sexos;Total Nacional;Total;2015T1;17.454,8
Ambos sexos;Total Nacional;Total;2014T4;17.569,1
Ambos sexos;Total Nacional;Total;2014T3;17.504
Ambos sexos;Total Nacional;Total;2014T2;17.353
Ambos sexos;Total Nacional;Total;2014T1;16.950,6
Ambos sexos;Total Nacional;Total;2013T4;17.135,2
Ambos sexos;Total Nacional;Total;2013T3;17.230
Ambos sexos;Total Nacional;Total;2013T2;17.160,6
Ambos sexos;Total Nacional;Total;2013T1;17.030,2
Ambos sexos;Total Nacional;Total;2012T4;17.339,4
Ambos sexos;Total Nacional;Total;2012T3;17.667,7
Ambos sexos;Total Nacional;Total;2012T2;17.758,5
Ambos sexos;Total Nacional;Total;2012T1;17.765,1
Ambos sexos;Total Nacional;Total;2011T4;18.153
Ambos sexos;Total Nacional;Total;2011T3;18.484,5
Ambos sexos;Total Nacional;Total;2011T2;18.622
Ambos sexos;Total Nacional;Total;2011T1;18.426,2
Ambos sexos;Total Nacional;Total;2010T4;18.674,9
Ambos sexos;Total Nacional;Total;2010T3;18.819
Ambos sexos;Total Nacional;Total;2010T2;18.751,1
Ambos sexos;Total Nacional;Total;2010T1;18.652,9
Ambos sexos;Total Nacional;Total;2009T4;18.890,4
Ambos sexos;Total Nacional;Total;2009T3;19.098,4
Ambos sexos;Total Nacional;Total;2009T2;19.154,2
Ambos sexos;Total Nacional;Total;2009T1;19.284,4
Ambos sexos;Total Nacional;Total;2008T4;20.055,3
Ambos sexos;Total Nacional;Total;2008T3;20.556,4
Ambos sexos;Total Nacional;Total;2008T2;20.646,9
Ambos sexos;Total Nacional;Total;2008T1;20.620
Ambos sexos;Total Nacional;Total;2007T4;20.717,9
Ambos sexos;Total Nacional;Total;2007T3;20.753,4
Ambos sexos;Total Nacional;Total;2007T2;20.580,9
Ambos sexos;Total Nacional;Total;2007T1;20.267,5
Ambos sexos;Total Nacional;Total;2006T4;20.195,4
Ambos sexos;Total Nacional;Total;2006T3;20.091
Ambos sexos;Total Nacional;Total;2006T2;19.891,6
Ambos sexos;Total Nacional;Total;2006T1;19.578,4
Ambos sexos;Total Nacional;Total;2005T4;19.509,2
Ambos sexos;Total Nacional;Total;2005T3;19.422,1
Ambos sexos;Total Nacional;Total;2005T2;19.160,6
Ambos sexos;Total Nacional;Total;2005T1;18.736,1
Ambos sexos;Total Nacional;Total;2004T4;18.490,8
Ambos sexos;Total Nacional;Total;2004T3;18.289,1
Ambos sexos;Total Nacional;Total;2004T2;18.018,9
Ambos sexos;Total Nacional;Total;2004T1;17.770,2
